4/14/2016,CM Coastal Services,cmcoastal@outlook.com,,315-778-0074,home advisor,X,,,,,
4/6/2016,"CM Property Savers, LLC",c.m.propertysavers@gmail.com,,407-780-1010,,X,,,,,
4/6/2016,Comfort Zone Air Conditioning AH Corporation,getinthecomfortzone@gmail.com,,407-234-0128,HA,X,,,,,
3/31/2016,Concrete and Masonry LLC,tntconcretemasonryllc@yahoo.com,Adam,407-687-0463,everybodys business 03/16,X ,,,,,
3/30/2016,David's Lawn Services,voicemail,,321-689-3122,,,,,,,
3/30/2016,"Don't Fuss Call Us, LLC",vg@gmail.com,,321-362-1798,,need to call with better email address,,,,,
3/31/2016,Dura Glaze,duraglaze@gmail.com,George,407-908-0546,everybodys business 03/16,X,,,,,X
3/30/2016,DWG Outdoors,dwggeneva@hotmail.com,Don,407-468-0593,everybodys business 03/16,X,,,,,
3/30/2016,E.U.G Service Lawn Maintenance,eugnextlevel@yahoo.com,Will,321-303-0880,everybodys business 03/16,X,,,,,
4/12/2016,Eagerton Plumbing,tclark@eagertonplumbing.com,,904-388-0761,angies list,X,,,,,
4/14/2016,"Earthworm Lawns, Landscape & pest control",shopcolby@gmail.com,Colby,386-882-2726,home advisor,need better email,,,,,
4/7/2016,"Eco Property Solutions, LLC",kenny@yourecopros.com,Kenny,407-832-4239,HA,X,,,,,
3/30/2016,Economical Solutions,knownchance@hotmail.com,Chance,407-376-9272,,X,,,,,
3/30/2016,Edward Scissorhands lawn & Pressure,voicemail,,321-418-5409,,,,,,,
4/11/2016,"Elyte Services, Inc",mely@elyteservicesinc.com,,407-448-4093,,X,,,,,
3/31/2016,Energy Efficient Filters,customerservice@andrewsfilter.com,,407-423-3310,everybodys business 03/16,X,,,,,
4/1/2016,"Everlasting Outdoors, LLC",contactus@everlasting-outdoors.com,Lori,321-356-4779,Home Advisor 3/31,X,,,,,
24-Mar,Exhale hookah lounge,voicemail,,321-230-0242,,,,,,,
7-Apr,Extreme Softwash,extremesoftwash@gmail.com,Joshua,321-747-3255,,X,,,,,
3/22/2016,Fair water florist,don?t call,,407-599-7673,"SEO, friendly?, busy",,,,,,
4/12/2016,First Coast Roofing and construction,rrobert@firstcoastroofing.com,,904-287-7756,angies list,need better email,,,,,
3/31/2016,Florida Drapery,floridadrapery@netzero.net,Kelly,407-679-5558,everybodys business 03/16,X,,,,,
3/30/2016,Franks Quick Cut lawn service,,,228-712-5079,,,,,,,
3/31/2016,Generator Filters,support@genstarservice.com,Pamela,407-417-5553,everybodys business 03/16,X,,,,,
4/6/2016,Get It Clean Professional Pressure Washing,getitcleanpw@yahoo.com,Spencer,407-467-2008,HA,X,,,,,
3/30/2016,Greater Landscape Services,gr8lawnservices@gmail.com,,407-443-9470,,X,,,,,
4/1/2016,Green Horizon Services Inc,office@greenhorizonservices.com,,954-584-9544,Home Advisor 3/31,X,,,,,
24-Mar,Guru Hookah Lounge,voicemail,,407-636-7104,,,,,,,
3/30/2016,Handy Jons,jdreinhardt@hotmail.com,Jon,407-399-8847,,X,,,,,
3/22/2016,HF Honey,don?t call,Charlie,352-708-6752,Have SEO,,,,,,
4/12/2016,HomePro Inspections,info@gohomepro.com,tonya,904-268-8211,angies list,X,,,,,
4/4/2016,Hometown Pest Control,info@hometownpest.com,,561-483-4333,Home Advisor 3/31,X,,,,,
4/4/2016,Hurricane Irrigation Systems Inc,williamhurricane@irrigation.com,William,305-992-0015,Home Advisor 3/31,need to call with better email address,,,,,
4/8/2016,Medallion Energy,denise@medallionenergy.com,Denise,407-786-0000,,X,,,,,
3/22/2016,Istanbul Turkish Cuisine,call back,,407-333-0033,website unavailable,,,,,,
3/30/2016,Jeffrey E Merritt Lawn Care,voicemail,,321-223-4983,,,,,,,
3/31/2016,Jjam Construction,jjamcon@aol.com,Toni,407-339-0053,everybodys business 03/16,X,,,,,
4/7/2016,JTG Construction LLC,jtg_rock@yahoo.com,John,352-434-9706,HA,X,,,,,
4/1/2016,Juarez Landscaping,juarezlandscape@gmail.com,Juarez,407-244-6451,Home Advisor 3/31,X,,,,,
24-Mar,Kush Hookah lounge,no answer,,407-843-5874,twice,,,,,,
3/31/2016,Larkin Landscape Irrigation,larkin45@yahoo.com,,407-739-7334,everybodys business 03/16,X,,,,,
3/31/2016,Laureano Construction,laureanoconstruction@gmail.com,Gabriel,386-479-3559,everybodys business 03/16,X,,,,,
4/4/2016,Lawn Care and pest Control,johnhcross@yahoo.com,John,954-319-2515,Home Advisor 3/31,X,,,,,
3/30/2016,Lawn Rescue,voicemail,Ryan,321-747-3213,,,,,,,
3/22/2016,Let my Chef Be yours,,,407-900-7004,SEO,,,,,,
4/5/2016,Lewis Outdoor Solutions,lewisoutdoor@yahoo.com,Lewis,407-949-4516,HA,X,,,,,
23-Mar,Lighthouse Seafood,call back,Tim,407-330-2425,,,,,,,
4/5/2016,Lombardo Landscaping & Water,lauren@lombardolandscaping.com,Lauren,239-634-5477,HA,X,,,,,
24-Mar,Luxor Hookah Coffee shop,,,,,,,,,,
4/11/2016,"Magic Marcite, Inc",magicmarcitellc@gmail.com,,407-694-9585,,X,,,,,
3/22/2016,Matts Casbah,don?t call,,321-574-1099,SEO,,,,,,
3/30/2016,Michael Murphy Qual Lawn Care,voicemail,,321-267-5436,,,,,,,
3/22/2016,Mom's Kitchen,no answer,,561-964-4931,Found on facebook,,,,,,
4/12/2016,"My Scapes, Inc",mattyoder@myscapes.net,Matt,352-217-5884,BBB,X,,,,,
3/30/2016,Ninja Cut Lawncare and Landscaping,voicemail,,321-720-0351,,,,,,,
3/31/2016,Noble Paint and Trim,info@noblepaintandtrim.com,,407-376-6622,everybodys business 03/16,X,,,,,
4/13/2016,Nolan Plumbing & Irrigation,jwn2009@comcast.net,,904-783-4321,,x,,,,,
23-Mar,North End Pizza,no answer,,407-677-8900,,,,,,,
4/14/2016,North Florida Comfort,petefore@comcast.net,,904-704-0486,home advisor,X,,,,,
4/12/2016,On Call Landscaping LLC,oncalllandscaping@gmail.com,,321-247-7467,BBB,X,,,,,
3/30/2016,Outstanding Landscaping,no answer,Greg,863-398-1369,,,,,,,
24-Mar,Paloma Hookah Lounge and club,voicemail,,786-529-4904,twice,,,,,,
4/5/2016,"Portugal Design & Landscaping, Inc",portugallandscaping@gmail.com,,239-357-3792,Home Advisor 4/4,X,,,,,
4/1/2016,Precision Lawn Design,precisionlawndesignllc@gmail.com,Derek,407-745-9730,Home Advisor 3/31,X,,,,,
4/4/2016,Price Termite & Pest Control,jon@pricetermite.com,Judy,561-744-4333,Home Advisor 3/31,X,,,,,
4/8/2016,Professional Poolcare,propoolcare@gmail.com,,407-255-7665,,X,,,,,
3/22/2016,Puppy Dreams,voicemail,,407-654-8885,www.puppydreams.com,,,,,,
4/12/2016,Red Bud Landscaping and Irrigation,jwb7500@gmail.com,,407-657-0826,BBB,X,,,,,
4/6/2016,"Reliable Property Renovations, LLC",waveryder9279@yahoo.com,Brandon,386-444-0260,Home advisor,X,,,,,
4/13/2016,River City Services,Rccpsi@bellsouth.net,,904-568-9948,home advisor,need better email,,,,,
4/1/2016,Roof Cleaning,sue@mallardsystems.com,Sue,321-804-4907,everybodys business 03/16,need to call with better email address,,,,,
3/30/2016,Roof Leaks,alars30393@aol.com,August Larson,407-869-1216,everybodys business 03/16,X,,,,,
4/14/2016,Ruffin's Lawn Care,kennethmaurice60@gmail.com,,904-993-1153,home advisor,X,,,,,
24-Mar,sahara caf‚ hookah lounge,no answer,,407-704-7835,,,,,,,
4/12/2016,Seminole Tree Masters,crystalabreu9@gmail.com,Crystal,407-636-7527,Home Advisor,X,,,,,
4/13/2016,Sky Frog Tree Service,skyfrog@skyfrogtreeservice.com,,352-727-4330,angies list,X,,,,,
4/8/2016,"Skye Blue Pool Services, LLC",skyeblueservices@gmail.com,,407-497-1887,,X,,,,,
3/31/2016,Sprinkler Repair,office@sprinklerrepairinc.com,,407-333-8818,everybodys business 03/16,X,,,,,
4/4/2016,"Star Pump & Sprinkler,",starpump1@gmail.com,Anthony,954-709-0304,Home Advisor 3/31,X,,,,,
4/14/2016,Superior 1 Home Care,markmckinney48@gmail.com,Mark,904-626-3957,home advisor,X,,,,,
24-Mar,Taps and caps Lounge,no answer,,407-636-4448,twice,,,,,,
4/13/2016,The Fun Gi's,jerryabis@yahoo.com,Jerry,352-219-0131,angies list,X,,,,,
24-Mar,The Shisha Bowl,no answer,,,,,,,,,
4/11/2016,Theresa Keels & Kastner Handyman Services,jcastner21@gmail.com,,321-330-5220,call for better email,X,,,,,
3/31/2016,Tree Reality,treerealityusa@gmail.com,Sergio,407-928-7484,everybodys business 03/16,X,,,,,
4/11/2016,Trenary Enterprise LLC,bassin1@att.net,Jim,386-956-7989,,X,,,,,
4/5/2016,Triton Irrigation LLC,office@tritonirrigationfl.com,Rich,239-322-4809,Home Advisor 4/4,X,,,,,
4/14/2016,Turf-Masters,csamuelson@turfmasterjax.com,Candace,904-724-9114,home advisor,need better email,,,,,
4/5/2016,"Tuscan Landscaping, Inc",tuscanlandscapinginc@gmail.com,Nick,239-370-6425,Home Advisor 4/4,X,,,,,
4/1/2016,Tuskawilla Lawn Maintenance,ivan@tuskawillalm.com,Ivan,407-592-0206,Home Advisor 3/31,X,,,,,
3/31/2016,Washer and Dryer Specialist,appliancemastersofcfl@gmail.com,Bill,407-920-2879,everybodys business 03/16,X,,,,,
4/1/2016,Water Systems Irrigation Specialists LLC,marsha@watersystemsirrigation.com,Marsha,407-649-9990,Home Advisor 3/31,X ,,,,,
4/1/2016,Waterworks Unlimited Inc,jennifer@waterworksunlimited.com,Jennifer,407-654-1964,Home Advisor 3/31,X,,,,,
4/13/2016,William Regan,hvac.regan@gmail.com,,904-428-3699,home advisor,X,,,,,
24-Mar,Xotica Hookah Caf‚ and lounge,voicemail,,863-229-5929,,,,,,,
4/6/2016,,craig@gentelpower.com,Craig,407-466-4427,""" Very Interest leaving Bluegreen Technologies",X,,,,,
4/15/2016,Back to New Heating & cooling,sales@newair.biz,,866-963-9247,home advisor,X,,,,,
4/15/2016,Keith's Lawn Care,keithslawnc@aol.com,keith,352-239-3363,home advisor,X,,,,,
4/15/2016,J&M Lawn Care,jnm@jnmlawncare.com,Grace,352-566-7892,home advisor,X,,,,,
4/15/2016,Lawn Doctor of Ocala,group1138@lawndoctor.com`,,352-307-2340,home advisor,X,,,,,
4/15/2016,Lee Mechanical and Plumbing,info@leehvac.com,,850-512-8957,home advisor,X,,,,,
4/18/2016,Port City Lawn Care,portcitylawns@yahoo.com,,251-581-6960,home advisor,X,,,,,
4/18/2016,Forest City Vet,info@forestcityvet.com,,407-862-3343 ,SMD,X,,,,,
4/18/2016,,ruby@lasikcall.com,,916-784-2020,SMD,X,,,,,
4/18/2016,seafood,fineseafood@yahoo.com,George,407-299-7777,SMD,X,,,,,
4/19/2016,a action/ pestoff,luv2killbugz@yahoo.com,,407-349-5450,home advisor,X,,,,,
4/19/2016,certified outdoor solutions,certifiedoutdoorsolutions@gmail.com,,386-871-2114,home advisor,X,,,,,
4/19/2016,american allegiance pest control,info@americanallegiancelawn.com,,239-985-9202,home advisor,X,,,,,
4/19/2016,Dusty's lawn service,dustyrodgers89@gmail.com,Dusty,239-849-4210,home advisor,X,,,,,
4/20/2016,Hydro Clean Pressure Washing,branderson5714@gmail.com,Brandon,239-240-2364,ha,X,,,,,
4/20/2016,Accent Pressure Cleaning Plus,accentpressurecleaning@gmail.com,,239-896-5257,ha,X,,,,,
4/20/2016,Allied Roof Cleaning,brian@alliedroofcleaning.com,Brian,239-322-9227,ha,X,,,,,
4/20/2016,extreme tile & grout restoration,extremetileandgroutrestoration@gmail.com,,239-565-7172,ha,X,,,,,
4/21/2016,Swim n Fun,swimnfun3@aol.com,,407-699-5588,everybodys business 03/16,,,,,,
4/21/2016,Mills Air,mfaber@millsair.com,,407-277-1159,everybodys business 03/16,,,,,,
4/21/2016,Russ Noyes Roofing,russ@russnoyesroofing.com,Russ,407-338-7700,everybodys business 03/16,,,,,,
4/21/2016,Wekiva Forest Animal Hospital,wekivaforestah@hotmail.com,,407-792-1901,,,,,,,
4/21/2016,luv n care animal hospital,lnclongwood@gmail.com,,407-767-0606,,,,,,,
4/21/2016,Seminole Animal Hospital,seminole Animal Hospital@yahoo.com,,407-330-7387,,,,,,,
4/21/2016,Spring Oaks Animal Care Center,springoaks@cfl.rr.com,,386-736-6747,,,,,,,
4/21/2016,American Kitchens,pat@americankitchensfl.com,,407-645-3235,,,,,,,
4/21/2016,Air Tech,info@airtechcfl.com,,407-696-9876,,,,,,,
4/21/2016,Ameritech,lross@ameritechfl.com,,407-532-8000,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
